"LGA_2016","Local Government Areas - 2016","SEIFAINDEXTYPE","Index Type","SEIFA_MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"10050","Albury (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",961,,
"10050","Albury (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",291,,
"10050","Albury (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"10050","Albury (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",54,,
"10050","Albury (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",69,,
"10050","Albury (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",6,,
"10050","Albury (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",53,,
"10050","Albury (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",754,,
"10050","Albury (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1180,,
"10050","Albury (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",51076,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1015,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",441,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",9,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",81,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",99,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",76,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",758,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1174,,
"10130","Armidale Regional (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",29449,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",999,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",419,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",77,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",97,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",75,,
