LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
"10050","Albury (C)","NSW","27597","25547","5115","18.8","16674","7827","3096","4796","319","4"
"10130","Armidale Regional (A)","NSW","13380","12406","2690","20.3","9466","3914","0","2518","172","0"
"10250","Ballina (A)","NSW","29350","19436","7314","36.4","23756","5010","584","7072","242","3"
"10300","Balranald (A)","NSW","154436","1174","211","15.8","853","535","153048","185","26","2"
"10470","Bathurst Regional (A)","NSW","17636","17524","3383","17.9","12549","5087","0","3144","239","0"
"10550","Bega Valley (A)","NSW","17111","17108","4607","26.1","13747","3105","259","4458","149","1"
"10600","Bellingen (A)","NSW","7903","6012","2037","32.8","6269","1634","0","1969","68","0"
"10650","Berrigan (A)","NSW","183759","4230","1404","29.7","5027","3441","175291","1256","148","1"
"10750","Blacktown (C)","NSW","95630","109446","23897","21.2","72743","19067","3820","23166","731","11"
"10800","Bland (A)","NSW","4946","2765","707","23.2","2671","1347","928","641","66","1"
"10850","Blayney (A)","NSW","3615","3090","669","19.9","2562","1053","0","616","53","0"
"10900","Blue Mountains (C)","NSW","25625","33656","7296","21.1","21792","3833","0","7095","201","0"
"10950","Bogan (A)","NSW","104116","1242","431","30.8","1338","778","102000","383","48","1"
"11100","Botany Bay (C)","NSW","","","","","","","","","",""
"11150","Bourke (A)","NSW","2835","1284","485","32.9","1837","998","0","423","62","0"
"11200","Brewarrina (A)","NSW","938","670","180","24.6","677","261","0","165","15","0"
"11250","Broken Hill (C)","NSW","66981","9298","3913","40.2","10581","3400","53000","3736","177","1"
"11300","Burwood (A)","NSW","3624","7495","844","10.7","2459","1165","0","800","44","0"
"11350","Byron (A)","NSW","24163","14601","5612","36.2","18332","5831","0","5283","329","0"
"11400","Cabonne (A)","NSW","63890","5854","1554","24.6","5814","2204","55872","1441","113","1"
"11450","Camden (A)","NSW","32638","29034","6364","20.3","23552","8493","593","5894","470","3"
"11500","Campbelltown (C)","NSW","45160","54580","11569","20.5","36037","8551","572","11202","367","2"
"11500","Campbelltown (C) (NSW)","NSW","45160","54580","11569","20.5","36037","8551","572","11202","367","2"
"11520","Canada Bay (A)","NSW","9007","17806","1896","10.1","6080","2498","429","1800","96","1"
"11570","Canterbury-Bankstown (A)","NSW","51080","90827","11617","12.2","33946","13654","3480","11110","507","7"
"11600","Carrathool (A)","NSW","4114","1263","309","20.7","1138","1201","1775","262","47","7"
"11650","Central Coast (C) (NSW)","NSW","104114","133902","24879","17.9","78697","20425","4992","23916","963","8"
"11700","Central Darling (A)","NSW","1711","1009","339","29.7","1081","630","0","300","39","0"
"11720","Cessnock (C)","NSW","25230","23215","5303","21.6","19389","5391","450","5017","286","2"
"11730","Clarence Valley (A)","NSW","32348","23735","7434","30.1","25352","6685","311","7134","300","1"
"11750","Cobar (A)","NSW","3466","2176","799","34.7","2619","847","0","755","44","0"
"11800","Coffs Harbour (C)","NSW","33783","28985","8213","27.3","26483","7163","137","7907","306","1"
"12000","Coolamon (A)","NSW","2457","1806","490","25.2","1872","585","0","456","34","0"
"12150","Coonamble (A)","NSW","3379","1896","656","31.1","2159","1220","0","590","66","0"
"12350","Cowra (A)","NSW","7028","5680","1328","21.7","4574","2208","246","1232","96","1"
"12380","Cumberland (A)","NSW","32853","51745","7285","13.5","20755","8832","3266","6977","308","6"
"12700","Dungog (A)","NSW","5562","4098","1099","24.1","3884","1678","0","987","112","0"
"12730","Edward River (A)","NSW","6435","4037","1056","23.3","4079","2356","0","942","114","0"
"12750","Eurobodalla (A)","NSW","19442","22358","4768","20.6","15517","3925","0","4609","159","0"
"12850","Fairfield (C)","NSW","48635","53542","10428","18.5","29915","15810","2910","9912","516","8"
"12870","Federation (A)","NSW","11497","5907","2087","33","7913","3584","0","1951","136","0"
"12900","Forbes (A)","NSW","5088","4286","852","17.5","3194","1894","0","751","101","0"
"12930","Georges River (A)","NSW","17977","35470","4502","12.2","13055","4024","898","4317","185","4"
"12950","Gilgandra (A)","NSW","3054","1930","660","31.2","2075","979","0","603","57","0"
"13010","Glen Innes Severn (A)","NSW","25337","4127","1049","23.8","3833","1295","20209","984","65","2"
