postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"0800","86","189","31.2","1943","315","1384","244","59","26","1","32376","207,209","48.4"
"0810","2384","9866","23.6","15648","11450","2589","1610","2330","51","3","198075","1,267,682","297.7"
"0812","1259","6486","19.0","7638","6154","1059","425","1235","22","2","101247","647,978","151.9"
"0820","731","5516","11.7","13470","3646","3901","5923","647","81","3","188975","1,209,440","286.2"
"0822","609","8339","6.1","12360","3011","3254","6095","510","89","10","140603","899,862","214"
"0828","143","526","20.7","2128","644","1485","0","109","34","0","58001","371,208","88.4"
"0829","23","331","3.3","607","63","544","0","11","12","0","53328","341,300","80.8"
"0830","1412","6006","23.0","8269","6869","1401","0","1381","31","0","123408","789,812","185.2"
"0832","1642","6200","26.3","9867","8648","829","390","1629","12","1","86298","552,306","129.5"
"0835","344","1311","25.6","2018","1785","234","0","335","9","0","41918","268,277","62.9"
"0836","842","2884","28.5","5366","4862","504","0","822","20","0","79945","511,646","120"
"0837","46","229","19.2","356","271","85","0","44","2","0","8113","51,925","12.3"
"","","229","","","","","","","","","","",""
"0838","86","360","22.5","574","467","108","0","81","5","0","9796","62,696","14.7"
"0840","81","373","21.4","468","457","11","0","80","1","0","6546","41,892","9.8"
"0841","49","310","15.2","468","289","179","0","47","2","0","9994","63,963","15.2"
"0845","59","268","18.3","494","217","277","0","49","10","0","7270","46,528","11.1"
"0846","37","225","15.1","234","161","72","0","34","3","0","0","0","0"
"0850","480","3207","13.5","4277","2353","1925","0","434","46","0","77527","496,170","123.1"
"0852","111","3134","2.5","3133","413","833","1887","77","28","6","8261","52,870","12.8"
"0854","9","295","2.4","103","31","72","0","7","2","0","5539","35,452","8.7"
"0860","93","1180","7.3","524","406","118","0","86","7","0","29800","190,721","48.9"
"0862","23","582","2.4","280","82","198","0","14","9","0","0","0","0"
"0870","2148","8587","23.8","18001","8571","3459","5971","2041","98","9","179322","1,147,661","294.6"
"0872","158","5013","2.0","6706","438","1136","5132","98","46","14","734","4,696","1.2"
"0880","23","1626","0.9","663","45","184","435","15","7","1","0","0","0"
